"id","country_id","name","enabled","deleted_at","created_at","updated_at"
"121","AR","Anatuya","1",NULL,NULL,NULL
"122","AR","Angelica","1",NULL,NULL,NULL
"123","AR","Antonio Carboni","1",NULL,NULL,NULL
"124","AR","Apostoles","1",NULL,NULL,NULL
"125","AR","Arequito","1",NULL,NULL,NULL
"126","AR","Armstrong","1",NULL,NULL,NULL
"127","AR","Arrecifes","1",NULL,NULL,NULL
"128","AR","Arroyito","1",NULL,NULL,NULL
"129","AR","Arroyito Challaco","1",NULL,NULL,NULL
"130","AR","Arroyo Seco","1",NULL,NULL,NULL
"131","AR","Arteaga","1",NULL,NULL,NULL
"132","AR","Asamblea","1",NULL,NULL,NULL
"133","AR","Ascension","1",NULL,NULL,NULL
"134","AR","Avellaneda","1",NULL,NULL,NULL
"135","AR","Ayacucho","1",NULL,NULL,NULL
"136","AR","Azara","1",NULL,NULL,NULL
"137","AR","Azul","1",NULL,NULL,NULL
"138","AR","Balcarce","1",NULL,NULL,NULL
"139","AR","Balnearia","1",NULL,NULL,NULL
"140","AR","Banda del Rio Sali","1",NULL,NULL,NULL
"141","AR","Bandera","1",NULL,NULL,NULL
"142","AR","Banfield","1",NULL,NULL,NULL
"143","AR","Baradero","1",NULL,NULL,NULL
"144","AR","Bariloche","1",NULL,NULL,NULL
"145","AR","Barrio Fisherton","1",NULL,NULL,NULL
"146","AR","Batan","1",NULL,NULL,NULL
"147","AR","Beccar","1",NULL,NULL,NULL
"148","AR","Belen de Escobar","1",NULL,NULL,NULL
"149","AR","Belgrano","1",NULL,NULL,NULL
"150","AR","Bell Ville","1",NULL,NULL,NULL
"151","AR","Bella Vista","1",NULL,NULL,NULL
"152","AR","Benavidez","1",NULL,NULL,NULL
"153","AR","Berazategui","1",NULL,NULL,NULL
"154","AR","Berisso","1",NULL,NULL,NULL
"155","AR","Bernal","1",NULL,NULL,NULL
"156","AR","Bernardo Larroude","1",NULL,NULL,NULL
"157","AR","Bernasconi","1",NULL,NULL,NULL
"158","AR","Bigand","1",NULL,NULL,NULL
"159","AR","Bombal","1",NULL,NULL,NULL
"160","AR","Bordenave","1",NULL,NULL,NULL
"161","AR","Bosch","1",NULL,NULL,NULL
"162","AR","Bosques","1",NULL,NULL,NULL
"163","AR","Boulogne","1",NULL,NULL,NULL
"164","AR","Bovril","1",NULL,NULL,NULL
"165","AR","Bragado","1",NULL,NULL,NULL
"166","AR","Brandsen","1",NULL,NULL,NULL
"167","AR","Brinkmann","1",NULL,NULL,NULL
"168","AR","Buenos Aires","1",NULL,NULL,NULL
"169","AR","Burzaco","1",NULL,NULL,NULL
"170","AR","Bustinza","1",NULL,NULL,NULL
"171","AR","Caballito","1",NULL,NULL,NULL
"172","AR","Calderon","1",NULL,NULL,NULL
"173","AR","Caleta Olivia","1",NULL,NULL,NULL
"174","AR","Caleufu","1",NULL,NULL,NULL
"175","AR","Camilo Aldao","1",NULL,NULL,NULL
"176","AR","Campana","1",NULL,NULL,NULL
"177","AR","Canada de Gomez","1",NULL,NULL,NULL
"178","AR","Canada del Ucle","1",NULL,NULL,NULL
"179","AR","Canada Rosquin","1",NULL,NULL,NULL
"180","AR","Canals","1",NULL,NULL,NULL
"181","AR","Canning","1",NULL,NULL,NULL
"182","AR","Canuelas","1",NULL,NULL,NULL
"183","AR","Capilla del Monte","1",NULL,NULL,NULL
"184","AR","Capilla del Senor","1",NULL,NULL,NULL
"185","AR","Capitan Bermudez","1",NULL,NULL,NULL
"186","AR","Carhue","1",NULL,NULL,NULL
"187","AR","Carlos Casares","1",NULL,NULL,NULL
"188","AR","Carlos Pellegrini","1",NULL,NULL,NULL
"189","AR","Carlos Tejedor","1",NULL,NULL,NULL
"190","AR","Caseros","1",NULL,NULL,NULL
"191","AR","Casilda","1",NULL,NULL,NULL
"192","AR","Castelar","1",NULL,NULL,NULL
"193","AR","Castelli","1",NULL,NULL,NULL
"194","AR","Castillo","1",NULL,NULL,NULL
"195","AR","Catriel","1",NULL,NULL,NULL
"196","AR","Catrilo","1",NULL,NULL,NULL
"197","AR","Cavanagh","1",NULL,NULL,NULL
"198","AR","Centenario","1",NULL,NULL,NULL
"199","AR","Ceres","1",NULL,NULL,NULL
"200","AR","Cervantes","1",NULL,NULL,NULL
"201","AR","Chacabuco","1",NULL,NULL,NULL
"202","AR","Chacarita","1",NULL,NULL,NULL
"203","AR","Chajari","1",NULL,NULL,NULL
"204","AR","Charata","1",NULL,NULL,NULL
"205","AR","Chateaubriand","1",NULL,NULL,NULL
"206","AR","Chilecito","1",NULL,NULL,NULL
"207","AR","Chivilcoy","1",NULL,NULL,NULL
"208","AR","Choele Choel","1",NULL,NULL,NULL
"209","AR","Chorroarin","1",NULL,NULL,NULL
"210","AR","Cinco Saltos","1",NULL,NULL,NULL
"211","AR","Cipolletti","1",NULL,NULL,NULL
"212","AR","City Bell","1",NULL,NULL,NULL
"213","AR","Ciudad General Belgrano","1",NULL,NULL,NULL
"214","AR","Ciudadela","1",NULL,NULL,NULL
"215","AR","Claypole","1",NULL,NULL,NULL
"216","AR","Clorinda","1",NULL,NULL,NULL
"217","AR","Colon","1",NULL,NULL,NULL
"218","AR","Colonia Baron","1",NULL,NULL,NULL
"219","AR","Colonia Caroya","1",NULL,NULL,NULL
"220","AR","Colonia San Miguel Arcangel","1",NULL,NULL,NULL
"221","AR","Comodoro Rivadavia","1",NULL,NULL,NULL
"222","AR","Concepcion","1",NULL,NULL,NULL
"223","AR","Concordia","1",NULL,NULL,NULL
"224","AR","Constituyentes","1",NULL,NULL,NULL
"225","AR","Coronel Dorrego","1",NULL,NULL,NULL
"226","AR","Coronel Martinez de Hoz","1",NULL,NULL,NULL
"227","AR","Coronel Pringles","1",NULL,NULL,NULL
"228","AR","Corral de Bustos","1",NULL,NULL,NULL
"229","AR","Corralitos","1",NULL,NULL,NULL
"230","AR","Corrientes","1",NULL,NULL,NULL
"231","AR","Cosquin","1",NULL,NULL,NULL
"232","AR","Coy Aike","1",NULL,NULL,NULL
"233","AR","Cramer","1",NULL,NULL,NULL
"234","AR","Crespo","1",NULL,NULL,NULL
"235","AR","Cruz del Eje","1",NULL,NULL,NULL
"236","AR","Curuzu Cuatia","1",NULL,NULL,NULL
"237","AR","Cutral-Co","1",NULL,NULL,NULL
"238","AR","Darregueira","1",NULL,NULL,NULL
"239","AR","De Mayo","1",NULL,NULL,NULL
"240","AR","Del Campillo","1",NULL,NULL,NULL
"241","AR","Del Viso","1",NULL,NULL,NULL
"242","AR","Despenaderos","1",NULL,NULL,NULL
"243","AR","Devoto","1",NULL,NULL,NULL
"244","AR","Diaz","1",NULL,NULL,NULL
"245","AR","Diego de Alvear","1",NULL,NULL,NULL
"246","AR","Doblas","1",NULL,NULL,NULL
"247","AR","Dock Sud","1",NULL,NULL,NULL
"248","AR","Dolores","1",NULL,NULL,NULL
"249","AR","Don Bosco","1",NULL,NULL,NULL
"250","AR","Don Torcuato","1",NULL,NULL,NULL
"251","AR","Drabble","1",NULL,NULL,NULL
"252","AR","Eduardo Castex","1",NULL,NULL,NULL
"253","AR","El Calafate","1",NULL,NULL,NULL
"254","AR","El Dorado","1",NULL,NULL,NULL
"255","AR","El Hoyo","1",NULL,NULL,NULL
"256","AR","El Palomar","1",NULL,NULL,NULL
"257","AR","El Talar","1",NULL,NULL,NULL
"258","AR","Eldorado","1",NULL,NULL,NULL
"259","AR","El Trebol","1",NULL,NULL,NULL
"260","AR","Embalse","1",NULL,NULL,NULL
"261","AR","Empalme Lobos","1",NULL,NULL,NULL
"262","AR","Ensenada","1",NULL,NULL,NULL
"263","AR","Esperanza","1",NULL,NULL,NULL
"264","AR","Esquel","1",NULL,NULL,NULL
"265","AR","Esteban Echeverria","1",NULL,NULL,NULL
"266","AR","Ezeiza","1",NULL,NULL,NULL
"267","AR","Ezpeleta","1",NULL,NULL,NULL
"268","AR","Famailla","1",NULL,NULL,NULL
"269","AR","Fatima","1",NULL,NULL,NULL
"270","AR","Federal","1",NULL,NULL,NULL
"271","AR","Fernandez","1",NULL,NULL,NULL
"272","AR","Firmat","1",NULL,NULL,NULL
"273","AR","Florencio Varela","1",NULL,NULL,NULL
"274","AR","Florentino Ameghino","1",NULL,NULL,NULL
"275","AR","Flores","1",NULL,NULL,NULL
"276","AR","Floresta","1",NULL,NULL,NULL
"277","AR","Florida","1",NULL,NULL,NULL
"278","AR","Formosa","1",NULL,NULL,NULL
"279","AR","Francisco Alvarez","1",NULL,NULL,NULL
"280","AR","Franck","1",NULL,NULL,NULL
"281","AR","Fray Luis A. Beltran","1",NULL,NULL,NULL
"282","AR","Freyre","1",NULL,NULL,NULL
"283","AR","Frias","1",NULL,NULL,NULL
"284","AR","Funes","1",NULL,NULL,NULL
"285","AR","Gaiman","1",NULL,NULL,NULL
"286","AR","Galvez","1",NULL,NULL,NULL
"287","AR","Garin","1",NULL,NULL,NULL
"288","AR","Garupa","1",NULL,NULL,NULL
"289","AR","General Acha","1",NULL,NULL,NULL
"290","AR","General Alvear","1",NULL,NULL,NULL
"291","AR","General Cabrera","1",NULL,NULL,NULL
"292","AR","General Deheza","1",NULL,NULL,NULL
"293","AR","General Guido","1",NULL,NULL,NULL
"294","AR","General Juan Madariaga","1",NULL,NULL,NULL
"295","AR","General Lagos","1",NULL,NULL,NULL
"296","AR","General Las Heras","1",NULL,NULL,NULL
"297","AR","General Lavalle","1",NULL,NULL,NULL
"298","AR","General Mansilla","1",NULL,NULL,NULL
"299","AR","General Martin Miguel de Guemes","1",NULL,NULL,NULL
"300","AR","General Pacheco","1",NULL,NULL,NULL
"301","AR","General Paz","1",NULL,NULL,NULL
"302","AR","General Pico","1",NULL,NULL,NULL
"303","AR","General Roca","1",NULL,NULL,NULL
"304","AR","General Rodriguez","1",NULL,NULL,NULL
"305","AR","General San Martin","1",NULL,NULL,NULL
"306","AR","General Viamonte","1",NULL,NULL,NULL
